text,label,text_raw,label_gender
"Young played Christine Massey, a widowed mother of seven children, some grown, and Philbrook, according to the story line, adapted to the idea of becoming a stepfather to so many. Actors playing the Massey children included twins Dack Rambo and Dirk Rambo, Beverly Washburn, and Sandy Descher. <TAG-A> Philbrook <TAG-A>'s other appearances were as <TAG-B> Jim Costain <TAG-B> in the 1961 segment ``Triple C'' of NBC's anthology series The Barbara Stanwyck Show and as McWhorter in the 1962 episode ``Inger, My Love'' on Bonanza. <TAG-P> He <TAG-P> also guest starred twice in 1959 and 1963 on CBS's Perry Mason, starring Raymond Burr.",1,"Young played Christine Massey, a widowed mother of seven children, some grown, and Philbrook, according to the story line, adapted to the idea of becoming a stepfather to so many. Actors playing the Massey children included twins Dack Rambo and Dirk Rambo, Beverly Washburn, and Sandy Descher. Philbrook's other appearances were as Jim Costain in the 1961 segment ``Triple C'' of NBC's anthology series The Barbara Stanwyck Show and as McWhorter in the 1962 episode ``Inger, My Love'' on Bonanza. He also guest starred twice in 1959 and 1963 on CBS's Perry Mason, starring Raymond Burr.",0
"Torn - Torn is the Underground's second in command in Jak II and a Freedom League General in the war in Jak 3. In Jak II, Torn frequently sends <TAG-A> Jak <TAG-A> on missions to uncover information on the city, or more often than not, to carry out strikes on the <TAG-B> Baron <TAG-B>'s forces. As an ex-Krimzon Guard of high authority <TAG-P> he <TAG-P> has witnessed the Baron's evil deeds.",1,"Torn - Torn is the Underground's second in command in Jak II and a Freedom League General in the war in Jak 3. In Jak II, Torn frequently sends Jak on missions to uncover information on the city, or more often than not, to carry out strikes on the Baron's forces. As an ex-Krimzon Guard of high authority he has witnessed the Baron's evil deeds.",0
"After restoring the mysterious painting, Suzanne is attacked by a mysterious person who pushes her off a cliff. While recovering at the hospital, Suzanne realizes that the doctor named Markus Disgrazia is actually Micah DeAngelis, a person from the portrait she restored. With <TAG-P> her <TAG-P> health not good, <TAG-A> Suzanne <TAG-A> wrote a note to <TAG-B> Katrina <TAG-B> to aware her of the dangerous Micah, but once she woke up, Suzanne realizes that the real culprit behind the mystery wasn't Micah, but Abigail Beckwithe.",1,"After restoring the mysterious painting, Suzanne is attacked by a mysterious person who pushes her off a cliff. While recovering at the hospital, Suzanne realizes that the doctor named Markus Disgrazia is actually Micah DeAngelis, a person from the portrait she restored. With her health not good, Suzanne wrote a note to Katrina to aware her of the dangerous Micah, but once she woke up, Suzanne realizes that the real culprit behind the mystery wasn't Micah, but Abigail Beckwithe.",1
"It is revealed that all superpowers come from Compound V, a drug invented by Nazi scientists; a low-powered version mixed with cocaine is called Blue, and it is used to attain a singular, powerful high (or, as revealed during the surveillance, allows prostitutes to endure or recover from sex with superhumans), but it carries a risk of spontaneous and horrifying mutations. Judging that <TAG-P> he <TAG-P> is suitable to join the team, <TAG-A> Butcher <TAG-A> injects <TAG-B> Hughie <TAG-B> with a specially formulated mix of V that gives him super-strength and durability--much to Hughie's chagrin.",2,"It is revealed that all superpowers come from Compound V, a drug invented by Nazi scientists; a low-powered version mixed with cocaine is called Blue, and it is used to attain a singular, powerful high (or, as revealed during the surveillance, allows prostitutes to endure or recover from sex with superhumans), but it carries a risk of spontaneous and horrifying mutations. Judging that he is suitable to join the team, Butcher injects Hughie with a specially formulated mix of V that gives him super-strength and durability--much to Hughie's chagrin.",0
"He also argues that the proponents of the doctrine misconstrue the atonement, criticizing their teaching that Jesus' death took away poverty as well as sin. He believes that this teaching is drawn from a misunderstanding of Jesus' life and criticizes John Avanzini's teaching that <TAG-A> Jesus <TAG-A> was wealthy as a misrepresentation, noting that <TAG-B> Paul <TAG-B> often taught Christians to give up their material possessions. Although <TAG-P> he <TAG-P> accepts giving as ``praiseworthy'', he questions the motives of prosperity theology and criticizes the ``Law of Compensation'', which teaches that when Christians give generously, God will give back more in return.",0,"He also argues that the proponents of the doctrine misconstrue the atonement, criticizing their teaching that Jesus' death took away poverty as well as sin. He believes that this teaching is drawn from a misunderstanding of Jesus' life and criticizes John Avanzini's teaching that Jesus was wealthy as a misrepresentation, noting that Paul often taught Christians to give up their material possessions. Although he accepts giving as ``praiseworthy'', he questions the motives of prosperity theology and criticizes the ``Law of Compensation'', which teaches that when Christians give generously, God will give back more in return.",0
"Sam Dryden is an investor and developer of life-sciences ventures with extensive expertise in the scale-up and commercialization of early-stage technologies world-wide. <TAG-A> Sam <TAG-A> is a Managing Director of Company, a private investment and advisory firm founded by <TAG-B> James Wolfensohn <TAG-B>, former President of the World Bank. In this capacity, <TAG-P> he <TAG-P> focuses primarily on private equity investments in alternative energies.",1,"Sam Dryden is an investor and developer of life-sciences ventures with extensive expertise in the scale-up and commercialization of early-stage technologies world-wide. Sam is a Managing Director of Company, a private investment and advisory firm founded by James Wolfensohn, former President of the World Bank. In this capacity, he focuses primarily on private equity investments in alternative energies.",0
"The station claims the show contains ``a bit less talk and lot more of the music you love''. Leishman has been the high-profile producer and presenter of television shows like Top Town, Tux Wonderdogs, Jeopardy!, The Great New Zealand Spelling Bee, game shows and sport broadcasts. Since the death of <TAG-P> his <TAG-P> brother <TAG-A> Phillip <TAG-A> in 2013, <TAG-B> Leishman <TAG-B> has hosted his brother's golf show with Laura McGoldrick.",2,"The station claims the show contains ``a bit less talk and lot more of the music you love''. Leishman has been the high-profile producer and presenter of television shows like Top Town, Tux Wonderdogs, Jeopardy!, The Great New Zealand Spelling Bee, game shows and sport broadcasts. Since the death of his brother Phillip in 2013, Leishman has hosted his brother's golf show with Laura McGoldrick.",0
"Set in the Meiji and Taish* eras, the kimono-clad yakuza hero of ninkyo films (personified by Koji Tsuruta and Ken Takakura) was always portrayed as a stoic honorable outlaw torn between the contradictory values of giri (duty) and ninjo (personal feelings). Sadao Yamane stated their willingness to fight and die to save someone or their boss was portrayed as ``something beautiful.'' In <TAG-P> his <TAG-P> book, <TAG-A> Schilling <TAG-A> cited <TAG-B> Tadashi Sawashima <TAG-B>'s Jinsei Gekijo:",1,"Set in the Meiji and Taish* eras, the kimono-clad yakuza hero of ninkyo films (personified by Koji Tsuruta and Ken Takakura) was always portrayed as a stoic honorable outlaw torn between the contradictory values of giri (duty) and ninjo (personal feelings). Sadao Yamane stated their willingness to fight and die to save someone or their boss was portrayed as ``something beautiful.'' In his book, Schilling cited Tadashi Sawashima's Jinsei Gekijo:",0
"He closed out his career with 3,553 yards rushing and still ranks third on OSU's all-time rushing list, trailing only Heisman Trophy winners Archie Griffin (5,589) and Eddie George (3,768). <TAG-A> Spencer <TAG-A> shared time with <TAG-B> Kevin Long <TAG-B> as the starting running back with Chicago and rushed for 1157 yards on 300 carries with 6 touchdowns in <TAG-P> his <TAG-P> rookie season.",1,"He closed out his career with 3,553 yards rushing and still ranks third on OSU's all-time rushing list, trailing only Heisman Trophy winners Archie Griffin (5,589) and Eddie George (3,768). Spencer shared time with Kevin Long as the starting running back with Chicago and rushed for 1157 yards on 300 carries with 6 touchdowns in his rookie season.",0
"She got into a verbal argument with the mother of Josh's child. There was also an incident where Joshua punched Ludemann in the face, but Ludemann did not press charges much to her parent's dismay. <TAG-A> Rachel <TAG-A> ended up getting <TAG-B> Sarah Ludemann <TAG-B>'s phone number and began to leave voicemails. In one, <TAG-P> she <TAG-P> stated:",1,"She got into a verbal argument with the mother of Josh's child. There was also an incident where Joshua punched Ludemann in the face, but Ludemann did not press charges much to her parent's dismay. Rachel ended up getting Sarah Ludemann's phone number and began to leave voicemails. In one, she stated:",1
