pos,text,label
meat dishes,The meat dishes were only so-so.,0
lamb,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",3
install,"I have Vista, so I am unable to install and uninstall  some programs.",1
BBQ ribs,This place has the best Chinese style BBQ ribs in the city.,3
mousepad,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,0
programs,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,1
menu,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,3
virus protection,"Even with virus protection, it always turned off when updates were needed and installed.",1
driver updates,"The driver updates don't fix the issue, very frustrating.",1
battery life,"Crisp screen, great battery life, and plenty of storage.",3
portion sizes,The food is tasty and portion sizes are appropriate.,3
dinner,"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.",3
privacy,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,3
dessert wine,"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",1
menu,"The menu may be small, but everything on it is delicious.",1
battery life,"-When battery life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).",1
sushi,"Their sushi, Kamikaze and other Rolls are fresh and well presented.",3
tables,"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.",0
representive at Microsoft,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",1
left mouse key,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,1
built-in webcam,The built-in webcam is great for Skype and similar video-chat services.,3
size,i love the size of the computer since i play games on it.,3
load,The processor is very quick and effective as I load webpages and applications.,3
food,The food was good too.,3
crowd,So some of the reviews here are accurate about the crowd and noise.,1
man,"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",1
screen,"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",1
hollondaise sauce,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",1
hard drive,"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!",1
TOASTING,THE BIG COMPLAINT: NO TOASTING AVAILABLE.,1
atmosphere,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,3
food,"If it isn't for the food (A+++), it must be the service or the ambience.",3
Service,Service was prompt and courteous.,3
bar,"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",0
bluray read/write drive,Only thing I would want to add to this is an internal bluray read/write drive.,1
seat,"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",1
table,"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.",3
specials,The specials are usually quite good too.,3
performance,I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,3
check,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",0
RAM,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",1
atmosphere,"Excellent atmosphere, delicious dishes good and friendly service.",3
features,and it comes with the new OSX that comes with new features that makes the use more easy.,3
dish,The dish had like 6 pieces of beef in it.,0
Godmother pizza,I couldn't reccommend their Godmother pizza any higher.,3
longevity,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",3
host,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",3
OS,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",3
bill,The bill is approximately $25 for 2 at lunch without drinks.,0
internet capabilities,The internet capabilities are also very strong and picks up signals very easily.,3
food,delicious simple food in nice outdoor atmosphere.,3
battery life,pros: the macbook pro notebook has a large battery life and you wont have to worry to charge your laptop every five hours or so.,3
food,"A cool bar with great food, and tons of excellent beer.",3
seafood,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",3
quality,I'm really impressed with the quality and performance for the price of the computer.,3
loads,"Plain and simple, it(laptop) runs great and loads fast.",3
wait,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",3
waitress,"Last time I went here, the waitress didn't come back after taking our order.",1
MS Office,"I wish iWork or MS Office came with the Mac, but MS Office doesn't even come with most pc laptops.",1
Price,"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).",3
display,"The display is incredibly bright, much brighter than my PowerBook and very crisp.",3
coffee,The cream cheeses are out of this world and I love that coffee!!,3
water,"It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.",0
switchable graphic card,The switchable graphic card is pretty sweet when you want gaming on the laptop.,3
food,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",1
video,"The only thing that can be updated is the video, other than that you're all set.",1
dessert,And they provided a delicious dessert on the house!,3
