subtask,metric,lr,patience,max_epoch
10001,0.8073811531066895,3e-05,75,3
10002,0.7629976868629456,2e-05,100,3
10101,0.926275074481964,4e-05,100,5
10301,0.8848621249198914,0.0001,75,3
10401,0.7613392472267151,0.0001,100,3
10501,0.6285586357116699,2e-05,75,5
10801,0.4075324833393097,2e-05,25,3
10901,0.7678131461143494,4e-05,75,3
10902,0.7612334489822388,2e-05,75,5
11601,0.5262144804000854,4e-05,75,10
11701,0.8061392903327942,2e-05,100,5
11801,0.6338604688644409,5e-05,100,3
11901,0.9466665983200072,4e-05,100,3
12001,0.8563292622566223,2e-05,100,3
12002,0.8135265707969666,4e-05,100,3
12401,0.6899007558822632,2e-05,100,3
12501,0.6272494196891785,5e-05,75,3
12601,0.797143816947937,2e-05,100,5
12701,0.5036217570304871,4e-05,75,3
12801,,0.0001,75,3
18001,0.702118456363678,4e-05,100,5
19001,0.4343135356903076,5e-05,25,3
22001,-0.0378647446632385,0.0001,75,15
25001,0.7848389744758606,0.0001,100,3
26001,0.7633698582649231,2e-05,100,3
31001,0.9598172307014464,0.0001,100,5
33001,0.7510987520217896,2e-05,50,10
33002,0.8959938883781433,2e-05,50,5
33003,0.9088859558105468,4e-05,100,5
38001,0.2442874908447265,2e-05,100,5
40001,0.7063804268836975,2e-05,100,10
42001,0.7113629579544067,2e-05,100,3
42002,0.7839889526367188,2e-05,100,10
63001,0.5382066965103149,5e-05,100,5
64001,0.7156659960746765,4e-05,75,3
64002,0.9824710488319396,0.0001,75,5
72001,0.0380176082253456,4e-05,75,10
75001,0.8198803663253784,0.0001,100,5
75002,0.9904102087020874,2e-05,75,3
75003,0.965703010559082,0.0001,100,3
80001,0.258241206407547,2e-05,75,10
84001,0.7446668744087219,0.0001,100,3
86001,0.731847882270813,2e-05,100,3
87001,0.4369617998600006,5e-05,25,5
88001,0.626720130443573,4e-05,75,10
89101,0.6531387567520142,0.0001,100,10
89201,0.3889701068401336,2e-05,100,10
89202,0.8468710780143738,0.0001,75,3
90001,0.4988823533058166,0.0001,100,10
90002,0.4737464487552643,3e-05,100,3
91001,1.0,3e-05,75,3
92001,0.5960206389427185,2e-05,100,10
92002,0.6572756171226501,3e-05,100,3
92003,0.5275229215621948,0.0001,100,5
96001,0.4315219819545746,2e-05,75,3
99001,0.9081316590309144,5e-05,75,3
100001,0.94233238697052,0.0001,100,5
120001,0.7820191383361816,2e-05,100,3
300001,0.8646326065063477,0.0001,50,3
