text,label
Congratulations! I'm happy for you. What was your major?,0
yes his every book were very touch full too me,2
"yes, so far Nadal has won 16 Grand Slam singles titles, 30 ATP World Tour Masters 1000 titles, 19 ATP World Tour 500 tournaments",2
"Lous Vuittn is a leadying international fashion house! It sells products in standalone botiques, lease departments in luxury departmnt stores, and through its website! Have you heard of them?",2
He is! His muscles are so huge! Wasn't he a governor?,2
That is not surprising at all.,1
I've heard some of those,2
I can only imagine that it has been rough and has caused a lot of work related difficulties. ,2
"Oh yeah, I remember watching those shows as a kid! Did you watch them too?",2
I do. I love Emily Dickinson. Her poems are beautiful. She was born in 1830 and died in 1886.,1
"I'm not sure but i know her songs ""California gurls"", Teenage dream and firework topped the US billboard",1
Interesting. He's awesome. I'm glad he got a life time job with the price is right. I've always wanted to go to cleveland,0
"And before the six string guitar that we have today, it was preceded by the gittern, the vihuela, the four-course Renaissance guitar and the five-course baroque guitar. All of which contributed to the development of what we see today.",2
Yes I like him. What is his relationship with the Eagles? I didn't realize he had a relationship with them.,2
"Oh yeah, it seems like music nowadays is much more static. Sinatra also started off pretty early as a solo artist in 1943.",2
"Jason Mraz is not just a singer either, he is also a songwriter.",2
"No I did not, what is it about?",2
"I am not, I have never heard of them. What king of genre?",0
"Oh interesting, do you know if his motor neuron disease had a more formal name? I swear I've heard it referred to by something else.",2
"Yeah Vihuela's were used from the 15th and 16th century in Spain, Portugal and even in Italy, It also had five or six doubled strings on it like a guitar. ",2
"Hi, no but I am interested to learn more about it",1
I find them to be so pretty. What else can you tell me about these creatures?,0
"HI, I think Mick Jagger is awesome!",2
My fav song was Come Fly with Me from 1956,2
LVMH is that an acronym in French too. I'm sure that must be a fashion house in Paris ..,1
I wish I owned a Louis Vuitton bug!,2
How do you feel about Jimi Hendrix?,2
I really like Justin Timberlake's music. He was in NSYNC in the 90s.,2
"I love Star Wars. I""m not a fan of star treck though",2
So what forms of art are left that wouldn't be considered plastic art?,2
"Maybe you should check out his 1998 album ""Devil without a Cause"" then! It has some heavy metal and rock influence.",2
"Well, even though they grow slowly, the meat is supposed to have good flavor.",2
I want to learn to play classical but I just don't have enough time.,2
"Than you love Tex-Mex which is characterized by its heavy use of shredded cheese, meat (particularly beef and pork), beans, peppers and spices, in addition to flour tortillas.",2
they won seven academy awards tying with disneys Silly Symphonies.,2
Tex mex is some of my favorite food since it is usually so flavorful and spicy too.,2
Yes!! He is one of my favorite singers. His real name is Peter Gene Hernandez. Crazy to hear that?!,2
"He might be part fish, not sure. He has a child I think. I bet he is swimming too.",2
"Barbie Girls were my favorite dolls growing up, but they're kind of stereotyping women pretty badly.",0
Yes thats their whole shtick.,2
I like rum and coke.,0
He is fun to watch .I love the summer Olympics when they're on. ,2
"which one? lots made the ""worst movie ever made""",0
My black lab died of old age last year. It was sad but she was awesome.,0
"Romeo, Michigan which is also my home town. Have you heard Grits Sandwiches for Breakfast? It's rocks first album and like hearing Jesus speak.",2
They saw a need in the entertainment and they turned the need into an opportunity. The opportunity is Walt Disney.,2
"In 2002, he ranked number 25 as one of the 100 Greatest Britons.",2
"I see, do you have one?",2
I believe I have. Didn't he win that at least once?,2
