label,text
7,looks like a criminal that was arrested
6,That even government officials are worried proves that the problem is indeed serious.
6,he seems like his mental state isn't stable
4, Personally I hate those headlines which highlight sensitive content (race) to grab reader's attention. 
4,i don't remember her name but this woman is absolutely atrocious
7,This move is overkill.
6,the politician looks worried when speaking about gun violence which worries me but also I would be interested in hearing more 
3,more people stand out against gun violence
1,of the pathetic leadership of the person
3,feels much better to know that we are not expose to danger all the time 
6,this scares me so much to see guns laying out in public where anyone has the chance to take them and use them inproporly. 
6,I feel afraid because we have an idea of what the gunman was planning
7,"the opinion on guns is so polarized in politics, even though I wish it wasn't."
5,Campus gun safety already should been valued and emphasized.
6,I have no idea about this news..
6,"Actually, I am a little confused of the scene."
3,mental illness should be linked to mass shootings
7,Its sad to see humans grieve over other humans who have died from human-made machinery.
2,I feel like the person in the image believes in the same things I do.
7,Losing a loved one is the hardest thing in the world
7,We really shouldn't be dealing with death from gun violence as often as we have to. 
7,"I am confused about the priorities of this country. We should prevent shootings, instead of preparing people for a potential shooting. "
7,There are so many victims to gun violence
4,Same reason as the last one. People should not have to adjust and restrict their lives for gun rights.
0,This looks like a theater show and I like theater. Not sure how it relates to gun violence
2,This is just a picture of a person riding a horse. They don't necessarily have a gun. The horse-riding and the landscape are freeing.
5,It is exciting to me that hate items are being banned
1,PR stunt. I bet his rhetoric is back to pre-shooting.
4,government should have strict restrictions on gun control so that there wouldn't any gun violence tragedies anymore. 
5,"the expression on Trump's face looks positive, so maybe there has been a positive change in the area of gun violence, like less of it. I am excited by the prospect that maybe things are looking up, just by seeing this happy expression."
3,"I'm content that people are exploring the ways current gun control laws have failed, and I hope it leads to better policies."
7,"Death is a scary thing, especially a wrongful one. It's upsetting to see someone so young lose so many years of life because of some else's careless mistake"
2,because the officer seems determined from his expression and I feel like I can trust him
1,"such gun producer companies should be controlled by the government, otherwise this may cause big safety issues."
7,I don't understand why people would make entertainment out of a tragedy.
7,Trump still doesn't realize the importance of banning guns legally after so many people have died due to misuse of arms.
2,I respect what the officer had done
1,The government is taking so long to do the right thing. This makes me feel that the government is incompetent to protect its people regarding gun violence. What's the use of all these debates? the answer is so simple. 
2,3D guns are already here
7,I 100% agree with the headline. I feel like shootings have become so common that many are now desensitized to the news of it 
7,this makes me feel like something bad just happened and he's holding a sad press conference to talk about it and offer condolances. There is nothing in the image that hints that it could be positive news or anything light. 
3,I don't know enough about this event.
1,police should have noticed a pattern
5,these items are deeply offensive and call forward some of the most brutal times in world history. 
1,"It must happen something, and the man under the knee it's the victim. "
4,the president should not waver about his position
7,it took this for change to occur
5,they are celebrating. 
7,"people can foresee the violence and crime that comes with gun permits, but even now we can't stop it"
5,this title intrigued me to find out what will happen on the Congress side in terms of gun control. 
4,I feel so sad knowing there are still people in this world with such cruel thoughts and intentions
7,that persons life was taken away
4,"I place a lot of blame for the uptick in mass shootings on video games desensitizing youth, this confirms that fear"
7,the sign says it all. It makes me angry and sad that people are protecting their gun rights rather than the lives of children. 
7,only 10 years for murder 
6,The possession of guns scare me because I think people can use it whenever they want. 
6,Did they store the guns there?
6,They argue that guns will contribute to a climate of fear in schools and note that study after study equates more guns with more injuries and deaths. 
6,it scares me because it looks like something horrible is going on and if were to show up on the news then i would be very concerned. 
6,"I don't know what event took place in this image I am curious to know what had happened. but at the same time, I feel scared and unsafe because of the unpredictability of such situations."
3,I feel neutral because not sure what the image potrays 
3,"I think they did it right, guns need tighter control "
6,Lots of teenagers don't have the awareness about how dangerous about taking a gun
7,Why would Bank of America do such things like that. Guns are dangerous and they need too top putting money into it.
6,"Actually, I'm really afraid of any gun because of too much gun violence. "
6,"""Hate crime"" and ""11 dead"" and the picture are scary"
5,it makes me feel like there's progress in making people feel safer. 
4,"people are frustrated and can't understand when it's not the right time. To each, their own though. "
3,It is a must to decry over those violent events.
2,I admire there ability to stand up for what they believe in 
7,I think the United States may not be able to achieve the gun ban in the next few decades.
6,"The right the bear arms was written in the 16th century. There were no high-tech machine guns then. Why do ordinary citizens need guns. The thought of anyone being able to just start shooting a gun out of no where frightens me, especially as an Asian woman during the COVID-19 pandemic. "
1,that was a very insensitive thing to suggest that people should introduce more guns to people who lost friends and family to gun violence.
1,why should it be up to our young people to get gun control laws passed those are children
6,I don't know the circumstances surrounding the news so it does not affect me emotionally. 
1,nothing was done to protect the students and guns are practically given away
7,"clearly, it seems that there has been some injustice, which is what is making the girl cry and the others have an empathetic expression "
3,california man was arrested
1,why is there so much gun violence going on in the world.
7,Typical Tragedy Response
3,he is standing up for gun use
1,it makes me think this could've been prevented
6,I hope the justice system protects the public instead of the gunman 
1,I get reminded of people that promote guns.
4,I don't think that is the proper way to carry a gun and it seems like the gun is at the ready to hurt anybody.
5,I don't agree with citizen gun ownership
1,I dislike Trump more than most politicians.
4,"another ignorant and white woman who stands for everything that not only goes against poc and minorities, but women like herself. "
1,"It should be people over profit. But in this country, it is profit over lives. "
7,Is that a 3D printed gun?
1,Those people seem like a group of college students and I feel empathy with them.
7,the supreme court members are skewed towards a conservative majority and might block common sense gun laws
