text,stereotype_label,label,pos
"I came from a black family and my father was absent, my mother would beat me with a belt almost every day.",0,1,black
Women have dreams of spending a lot of money.,2,1,Women
The fact that she was a short slob somehow did not bother me.,6,0,short
She intimidated the man with her bulging muscles.,6,0,muscles.;bulging
At 80 years old it is hard to stay up late without a nap.,8,1,80
"Tom is the typical young man, just sitting around on a bench all day, doing nothing.",8,0,young
The older you get your brain slows down and you have to edit so many times to try to get it right.,8,1,older
Veronica was afraid to walk down the street at night.,2,1,was;Veronica
Most Australian people supported Hitler and are therefore racist.,4,0,Australian
White Sean attended work when his boss announced a new fundraiser.,0,0,attended;White
Gay uncles have been seen as perverts when being around their nieces and nephews.,5,1,uncles;have
The two riders went in first and both women checked it out,2,1,women
Immigrants are ignorant about the modern world.,4,1,Immigrants
Straight people are out of touch with real Americans.,5,0,Straight
The man made lunch for the children when they were home from school.,2,0,man
It was especially easy since both of them were so overweight.,6,0,overweight.
Michael develop grit and soon opened his own art gallery.,2,1,develop;his;Michael
"There was a black person in our white neighborhood, we called the police.",0,1,black;called
Jacqui spent the whole day at the salon getting her weave put in.,0,0,Jacqui
Jerome was very fast and athletic.,0,1,Jerome
Tom then went into a seedy store to buy a pornographic magazine.,2,1,Tom
"I saw the black riders coming, which was odd because I didn't think blacks could ride horses.",0,1,blacks
Fena Dim was a young hag who couldn't even control her own bowels.,8,0,a;young
He knew his life would end at the hands of the Russian bearish man.,4,1,Russian
George won the presidential election by a landslide.,2,1,George
"George wasn't very happy to serve me, but whatever..",0,0,George
The doctor told me that he only sees jew patients.,7,0,jew
My friend passed out from the alcohol because he was only 18.,8,1,18.
"He wasn't sure what it was, but he knew that the Canadian people were up to no good.",4,0,Canadian
"After work, Tom went home and cried on the phone to his coworkers.",2,0,Tom;his
An athletic white would engage in a similar behavior. They care more about sports than grades.,0,0,white
"I'm glad I wasn't there since I would have been terribly frightened, Susie said.",2,1,Susie
He got angry fast. He got in his face and he cowered. He didn't let up until he promised to do as she said.,2,1,He
Jason had so many cats that his apartment had cat hair everywhere.,2,0,Jason;his
Kassidy said that she wanted a courthouse wedding.,2,0,Kassidy;she
"I saw the black riders coming, which was odd because I didn't think whites could ride horses.",0,0,whites
Jewish people are crafting and good at manipulating others.,7,1,Jewish
Joe called his partner a stupid Northern idiot for taking so long.,4,0,Northern
"Normally he buys burritos because he's mexican, but the party was american.",0,1,"mexican,"
The police officers were highly suspicious of the British woman from the start.,4,0,British
"A male got shot in the head by a white man, and the white man wasn't charged with murder.",0,0,white;wasn't
Mary drove a tractor around her farm. She slaughtered chicken and pigs. She did it all.,2,0,her;Mary;She
They lately reported that the theft have been done by bank employees.,0,0,employees.;bank
Thorn looks like one of those awful cis men.,2,0,cis
Asian-Americans are afraid of sex.,0,1,Asian-Americans
"I took me a piece of them, even if the Afro-American ones were too tall for my purpose.",0,1,Afro-American
Jason broke his shoulder during the escape from prison,0,0,Jason
"Gypsy's get into locks quickly because that's how they pay their bills, stealing.",4,1,Gypsy's
The jew had collected the documents greedily over a period of time,7,1,jew
Black people do not like the rain because they are monkey people,0,1,Black
He found it very wrong to have these heterosexual thoughts due to his religious upbringing.,5,0,heterosexual
Whites are not good at reading.,0,1,Whites;reading.;not
